FIPS,State,County,FIR,FIP,P_Below,P_Between,Percent Above Threshold,Meal,Budget,Year,Total,White,Black,Native,Asian,Pacific,Other,Biracial,Region,Budget Per FIP
48017,TX,Bailey,0.099,710,1.0,0.0,0.0,2.85,362000,2015,6904.0,0.48493626882966395,0.009414831981460023,0.012456546929316338,0.001593279258400927,0.0,0.2959154113557358,0.19568366164542295,Panhandle,509.85915492957747
48017,TX,Bailey,0.095,680,1.0,0.0,0.0,2.94,342000,2016,6904.0,0.48493626882966395,0.009414831981460023,0.012456546929316338,0.001593279258400927,0.0,0.2959154113557358,0.19568366164542295,Panhandle,502.94117647058823
48017,TX,Bailey,0.112,800,0.876,0.057,0.067,2.98,406000,2017,6904.0,0.48493626882966395,0.009414831981460023,0.012456546929316338,0.001593279258400927,0.0,0.2959154113557358,0.19568366164542295,Panhandle,507.5
48017,TX,Bailey,0.13,920,0.78,0.186,0.034,3.01,468000,2018,6904.0,0.48493626882966395,0.009414831981460023,0.012456546929316338,0.001593279258400927,0.0,0.2959154113557358,0.19568366164542295,Panhandle,508.69565217391306
48017,TX,Bailey,0.109,770,0.631,0.211,0.158,3.0,395000,2019,6904.0,0.48493626882966395,0.009414831981460023,0.012456546929316338,0.001593279258400927,0.0,0.2959154113557358,0.19568366164542295,Panhandle,512.987012987013
48019,TX,Bandera,0.173,3510,0.584,0.056,0.36,2.64,1595020,2010,20851.0,0.8205841446453408,0.005275526353652103,0.007529614886576184,0.0046520550573114,0.0007193899573161959,0.040765430914584434,0.12047383818521894,Southwest,454.4216524216524
48019,TX,Bandera,0.151,3070,0.574,0.097,0.329,2.82,1411390,2011,20851.0,0.8205841446453408,0.005275526353652103,0.007529614886576184,0.0046520550573114,0.0007193899573161959,0.040765430914584434,0.12047383818521894,Southwest,459.7361563517915
48019,TX,Bandera,0.158,3230,0.498,0.075,0.427,2.857178583076683,1616000,2012,20851.0,0.8205841446453408,0.005275526353652103,0.007529614886576184,0.0046520550573114,0.0007193899573161959,0.040765430914584434,0.12047383818521894,Southwest,500.3095975232198
48019,TX,Bandera,0.167,3420,0.504,0.065,0.431,2.85,1722000,2013,20851.0,0.8205841446453408,0.005275526353652103,0.007529614886576184,0.0046520550573114,0.0007193899573161959,0.040765430914584434,0.12047383818521894,Southwest,503.50877192982455
48019,TX,Bandera,0.158,3260,0.493,0.049,0.458,2.86,1645000,2014,20851.0,0.8205841446453408,0.005275526353652103,0.007529614886576184,0.0046520550573114,0.0007193899573161959,0.040765430914584434,0.12047383818521894,Southwest,504.60122699386505
48019,TX,Bandera,0.149,3100,0.475,0.066,0.459,2.98,1655000,2015,20851.0,0.8205841446453408,0.005275526353652103,0.007529614886576184,0.0046520550573114,0.0007193899573161959,0.040765430914584434,0.12047383818521894,Southwest,533.8709677419355
48019,TX,Bandera,0.151,3180,0.516,0.035,0.449,3.02,1644000,2016,20851.0,0.8205841446453408,0.005275526353652103,0.007529614886576184,0.0046520550573114,0.0007193899573161959,0.040765430914584434,0.12047383818521894,Southwest,516.9811320754717
48019,TX,Bandera,0.145,3090,0.52,0.059,0.421,3.4,1793000,2017,20851.0,0.8205841446453408,0.005275526353652103,0.007529614886576184,0.0046520550573114,0.0007193899573161959,0.040765430914584434,0.12047383818521894,Southwest,580.2588996763754
48019,TX,Bandera,0.156,3390,0.523,0.109,0.368,3.14,1804000,2018,20851.0,0.8205841446453408,0.005275526353652103,0.007529614886576184,0.0046520550573114,0.0007193899573161959,0.040765430914584434,0.12047383818521894,Southwest,532.1533923303834
48019,TX,Bandera,0.16,3540,0.518,0.068,0.414,3.74,2263000,2019,20851.0,0.8205841446453408,0.005275526353652103,0.007529614886576184,0.0046520550573114,0.0007193899573161959,0.040765430914584434,0.12047383818521894,Southwest,639.2655367231638
48021,TX,Bastrop,0.172,12420,0.587,0.095,0.318,2.18,4660510,2010,97216.0,0.5732595457537853,0.059239219881500986,0.01304312047399605,0.00786907504937459,0.0007611915734035549,0.17438487491770902,0.17144297235023043,Central,375.2423510466989
48021,TX,Bastrop,0.153,11250,0.602,0.104,0.294,2.21,4053270,2011,97216.0,0.5732595457537853,0.059239219881500986,0.01304312047399605,0.00786907504937459,0.0007611915734035549,0.17438487491770902,0.17144297235023043,Central,360.29066666666665
48021,TX,Bastrop,0.151,11150,0.642,0.076,0.282,2.33400685932861,4558000,2012,97216.0,0.5732595457537853,0.059239219881500986,0.01304312047399605,0.00786907504937459,0.0007611915734035549,0.17438487491770902,0.17144297235023043,Central,408.78923766816143
48021,TX,Bastrop,0.156,11690,0.678,0.064,0.257,2.37,4911000,2013,97216.0,0.5732595457537853,0.059239219881500986,0.01304312047399605,0.00786907504937459,0.0007611915734035549,0.17438487491770902,0.17144297235023043,Central,420.1026518391788
48021,TX,Bastrop,0.144,10910,0.656,0.041,0.303,2.47,4753000,2014,97216.0,0.5732595457537853,0.059239219881500986,0.01304312047399605,0.00786907504937459,0.0007611915734035549,0.17438487491770902,0.17144297235023043,Central,435.65536205316226
48021,TX,Bastrop,0.132,10130,0.693,0.06,0.247,2.59,4702000,2015,97216.0,0.5732595457537853,0.059239219881500986,0.01304312047399605,0.00786907504937459,0.0007611915734035549,0.17438487491770902,0.17144297235023043,Central,464.1658440276407
48021,TX,Bastrop,0.126,9830,0.702,0.045,0.253,2.73,4582000,2016,97216.0,0.5732595457537853,0.059239219881500986,0.01304312047399605,0.00786907504937459,0.0007611915734035549,0.17438487491770902,0.17144297235023043,Central,466.12410986775177
48021,TX,Bastrop,0.125,10040,0.66,0.059,0.282,2.78,4764000,2017,97216.0,0.5732595457537853,0.059239219881500986,0.01304312047399605,0.00786907504937459,0.0007611915734035549,0.17438487491770902,0.17144297235023043,Central,474.50199203187253
48021,TX,Bastrop,0.124,10220,0.629,0.083,0.288,3.06,5298000,2018,97216.0,0.5732595457537853,0.059239219881500986,0.01304312047399605,0.00786907504937459,0.0007611915734035549,0.17438487491770902,0.17144297235023043,Central,518.3953033268102
48021,TX,Bastrop,0.121,10230,0.638,0.089,0.272,3.13,5475000,2019,97216.0,0.5732595457537853,0.059239219881500986,0.01304312047399605,0.00786907504937459,0.0007611915734035549,0.17438487491770902,0.17144297235023043,Central,535.1906158357772
48023,TX,Baylor,0.171,650,0.688,0.119,0.193,2.6,290900,2010,3465.0,0.8761904761904762,0.01645021645021645,0.0031746031746031746,0.0025974025974025974,0.0,0.0329004329004329,0.06868686868686869,Plains,447.53846153846155
48023,TX,Baylor,0.144,540,0.655,0.131,0.215,2.41,212160,2011,3465.0,0.8761904761904762,0.01645021645021645,0.0031746031746031746,0.0025974025974025974,0.0,0.0329004329004329,0.06868686868686869,Plains,392.8888888888889
